"table__cell","table__cell 2","table__cell 3","table__cell 4","table__cell 5","table__cell 6","table__cell 7","icon-elbow","icon-elbow href"
"Madrid","4.622 €/m2","+ 2,4 %","+ 5,1 %","+ 15,5 %","4.622 €/m2 jul 2024","0,0 %","",""
"","4.957 €/m2","+ 2,2 %","+ 7,1 %","+ 11,4 %","4.957 €/m2 jul 2024","0,0 %","Arganzuela","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/arganzuela/"
"","3.727 €/m2","+ 1,1 %","+ 3,3 %","+ 6,4 %","3.727 €/m2 jul 2024","0,0 %","Barajas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/barajas/"
"- 14,0 %","2.730 €/m2","+ 0,7 %","+ 4,0 %","+ 11,3 %","3.173 €/m2 jun 2007","","Carabanchel","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/carabanchel/"
"0,0 %","6.223 €/m2","+ 0,9 %","+ 16,1 %","","0,0 %","6.223 €/m2 jul 2024","Centro","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/centro/"
"","6.389 €/m2","+ 1,7 %","+ 4,8 %","+ 11,5 %","6.389 €/m2 jul 2024","0,0 %","Chamartín","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/chamartin/"
"","6.848 €/m2","+ 2,7 %","+ 6,5 %","+ 14,4 %","6.848 €/m2 jul 2024","0,0 %","Chamberí","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/chamberi/"
"","3.752 €/m2","+ 2,1 %","+ 6,0 %","+ 11,6 %","3.752 €/m2 jul 2024","0,0 %","Ciudad Lineal","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/ciudad-lineal/"
"- 0,1 %","4.036 €/m2","+ 2,5 %","+ 5,5 %","- 0,1 %","4.038 €/m2 jun 2024","","Fuencarral","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/fuencarral/"
"","4.420 €/m2","+ 1,2 %","+ 5,6 %","+ 11,3 %","4.420 €/m2 jul 2024","0,0 %","Hortaleza","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/hortaleza/"
"- 7,7 %","2.824 €/m2","+ 1,9 %","+ 3,7 %","+ 11,0 %","3.058 €/m2 nov 2007","","Latina","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/latina/"
"","4.904 €/m2","+ 0,6 %","+ 2,9 %","+ 12,3 %","4.904 €/m2 jul 2024","0,0 %","Moncloa","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/moncloa/"
"","3.150 €/m2","+ 0,5 %","+ 2,9 %","+ 12,6 %","3.150 €/m2 jul 2024","0,0 %","Moratalaz","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/moratalaz/"
"- 0,1 %","2.375 €/m2","+ 0,3 %","+ 9,2 %","- 19,3 %","2.944 €/m2 abr 2008","","Puente de Vallecas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/puente-de-vallecas/"
"","5.780 €/m2","+ 4,2 %","+ 5,8 %","+ 15,6 %","5.780 €/m2 jul 2024","0,0 %","Retiro","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/retiro/"
"","7.990 €/m2","+ 1,8 %","+ 4,9 %","+ 20,1 %","7.990 €/m2 jul 2024","0,0 %","Salamanca","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/salamanca/"
"- 17,2 %","3.027 €/m2","+ 1,1 %","+ 3,1 %","+ 8,6 %","3.656 €/m2 nov 2007","","San Blas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/san-blas/"
"","4.600 €/m2","+ 1,4 %","+ 3,1 %","+ 12,5 %","4.600 €/m2 jul 2024","0,0 %","Tetuán","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/tetuan/"
"- 18,2 %","2.558 €/m2","+ 2,4 %","+ 7,0 %","+ 13,2 %","3.127 €/m2 oct 2007","","Usera","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/usera/"
"","2.989 €/m2","+ 1,5 %","+ 4,9 %","+ 2,5 %","2.989 €/m2 jul 2024","0,0 %","Vicálvaro","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/vicalvaro/"
"- 2,8 %","2.873 €/m2","+ 1,5 %","+ 2,2 %","+ 9,7 %","2.955 €/m2 mayo 2008","","Villa de Vallecas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/villa-de-vallecas/"
"- 27,9 %","2.090 €/m2","+ 1,0 %","+ 2,2 %","+ 7,4 %","2.900 €/m2 feb 2008","","Villaverde","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/villaverde/"